Latitude,Longitude,timestamp,xaxis,yaxis,zaxis,Landmark
12.9728732,79.1576544,1.00E+13,0,0,2.069192886,Albert Einstein Block
12.9728732,79.1576544,1.00E+13,0,0,2.332404137,Albert Einstein Block
12.9728732,79.1576544,1.00E+13,0,0,2.194217682,Albert Einstein Block
12.9728732,79.1576544,1.00E+13,0,0,2.332404137,Albert Einstein Block
12.9728732,79.1576544,1.00E+13,0,0,2.081156731,Albert Einstein Block
12.9728732,79.1576544,1.00E+13,0,0,2.069192886,Albert Einstein Block
12.9728732,79.1576544,1.00E+13,0,0,2.081156731,Albert Einstein Block
12.9728732,79.1576544,1.00E+13,0,0,2.194217682,Albert Einstein Block
12.9728732,79.1576544,1.00E+13,0,0,2.069192886,Albert Einstein Block
12.9728732,79.1576544,1.00E+13,0,0,2.069192886,Albert Einstein Block
12.9728732,79.1576544,1.00E+13,0,0,2.194217682,Albert Einstein Block
12.9728732,79.1576544,1.00E+13,0,0,2.332404137,Albert Einstein Block
12.9728732,79.1576544,1.00E+13,0,0,2.332404137,Albert Einstein Block
12.9728732,79.1576544,1.00E+13,0,0,2.332404137,Albert Einstein Block
12.9728732,79.1576544,1.00E+13,0,0,2.081156731,Albert Einstein Block
12.9728732,79.1576544,1.00E+13,0,0,2.194217682,Albert Einstein Block
12.9728732,79.1576544,1.00E+13,0,0,2.069192886,Albert Einstein Block
12.9728732,79.1576544,1.00E+13,0,0,2.284546852,Albert Einstein Block
12.9728732,79.1576544,1.00E+13,0,0,2.069192886,Albert Einstein Block
12.9728732,79.1576544,1.00E+13,0,0,2.081156731,Albert Einstein Block
12.9728732,79.1576544,1.00E+13,0,0,2.332404137,Albert Einstein Block
12.9728732,79.1576544,1.00E+13,0,0,2.194217682,Albert Einstein Block
12.9728732,79.1576544,1.00E+13,0,0,2.081156731,Albert Einstein Block
12.9728732,79.1576544,1.00E+13,0,0,2.332404137,Albert Einstein Block
12.9728732,79.1576544,1.00E+13,0,0,2.069192886,Albert Einstein Block
12.9728732,79.1576544,1.00E+13,0,0,2.332404137,Albert Einstein Block
12.9728732,79.1576544,1.00E+13,0,0,2.069192886,Albert Einstein Block
12.9728732,79.1576544,1.00E+13,0,0,2.069192886,Albert Einstein Block
12.9696231,79.1580137,1.00E+13,0,0,2.492124557,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.053640366,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.961117744,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.053640366,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,2.232503653,0,2.078764915,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.050050735,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.903091908,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.480758667,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.480758667,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,3.42472744,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.435893059,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.653640747,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.053640366,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.961117744,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.961117744,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.091924667,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.222931862,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.050050735,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.053640366,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.653640747,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.053640366,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.47298193,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.053640366,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.47298193,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.222931862,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.222931862,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.053640366,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,4.039085388,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.653640747,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.222931862,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.961117744,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,3.42472744,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.653640747,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.961117744,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.653640747,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.673380852,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.653640747,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.47298193,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.435893059,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.222931862,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.053640366,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.653640747,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,4.220939159,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.050050735,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.050050735,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.222931862,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.961117744,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.053640366,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.435893059,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.053640366,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.222931862,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.222931862,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.480758667,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,5.539384365,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.961117744,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.653640747,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.222931862,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.480758667,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.315055847,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.222931862,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,3.42472744,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,4.931009769,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.653640747,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.492124557,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.653640747,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.492124557,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.222931862,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.222931862,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.222931862,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.961117744,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.050050735,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.492124557,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.050050735,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.053640366,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.222931862,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.435893059,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.053640366,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.961117744,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,2.232503653,0,2.078764915,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,2.232503653,0,2.078764915,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.053640366,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.961117744,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,3.42472744,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.091924667,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.222931862,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.222931862,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.961117744,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.435893059,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.480758667,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,3.42472744,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,2.232503653,0,2.078764915,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.47298193,Amartya Sen Avenue
